CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CREDIT_UTILIZATION,PAYMENT_RATIO,PURCHASE_TO_LIMIT,CASH_ADVANCE_INTENSITY,AVG_PURCHASE_VALUE,INSTALLMENT_PURCHASE_SHARE,SEGMENT
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,0.8094961656,0.3997287410993019,0.47611000000000003,0.3395321802,58.06219512195123,0.310172019071223,High-Utilization
C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,0.696602016,0.19732479674911277,0.02266666666666667,0.3250777624444444,102.0,0.0,Low-Engagement
C10040,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,0.18821363066666666,14.218648152744843,0.128432,0.8231577169333334,160.54,0.0,Cash-Advance Heavy
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.333445,0.166667,12,0.3685821166666667,4.622907459744272,0.0,1.7405910744444444,0.0,0.0,Cash-Advance Heavy
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.111111,12,0.2616299206666667,1.6082636404677682,0.5088633333333333,0.7294732023333332,56.54037037037037,0.4849304659404293,Cash-Advance Heavy
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,0.9121579551111111,0.211531412986041,0.04529333333333333,0.0,203.82,0.0,High-Utilization
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12,0.9071615846666667,0.2780057661127724,0.0,0.9877247286666667,0.0,0.0,High-Utilization
C10046,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.341501,1318.71492,0.0,12,0.625405364,0.26906624150074027,0.17946352941176472,0.0,76.272,0.6920232850849591,High-Value Active
C10047,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,312.343947,0.0,12,0.9342965358333334,0.0,0.18208333333333335,0.076936955,87.4,0.7780320366132724,High-Utilization
C10048,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,147.199792,0.0,8,0.27908655823529416,0.3709854835696357,0.06455294117647059,0.5962703247058824,36.58,1.0,Cash-Advance Heavy
C10049,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,312.343947,0.0,12,0.930978865952381,0.0,0.0,0.4716364764285714,0.0,0.0,High-Utilization
C10050,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,0.0696567209090909,11.067058681744209,0.7244242424242424,0.0,27.47816091954023,0.4131473270308709,High-Value Active
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,0.21595245825,0.6805507746518092,0.126875,0.17377428975,169.16666666666666,0.0,Low-Engagement
C10052,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,1012.415961,0.0,8,0.4109443214166667,1.6452547874025587,0.07511833333333333,0.7108873845,100.15777777777777,0.2832752767855162,Cash-Advance Heavy
C10053,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.446601,0.0,12,0.43155542599999996,1.2974725893030483,1.24314,0.0,172.65833333333333,0.2851199382209566,Balanced Usage
C10054,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,0.4473374568571428,0.44186857683973363,0.0,0.09181689571428571,0.0,0.0,Low-Engagement
C10055,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,132.446091,0.2,9,0.15489138533333333,6.692975500879804,0.65974,0.6604218343333333,179.92909090909092,0.0,Cash-Advance Heavy
C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.016763,312.343947,0.0,12,0.0066605169999999995,62.61026929290925,0.31,0.0,38.75,1.0,Installment-Focused
C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,312.343947,0.0,12,0.2186659973333333,0.0,0.21398333333333336,0.0,213.98333333333335,0.0,Low-Engagement
C10058,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,312.343947,0.0,12,0.9063045365000001,0.0,0.0783175,0.16711718575,78.3175,0.0,High-Utilization
C10059,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,1311.514878,0.083333,12,0.3181774172,2.379691038613409,0.6956826666666667,0.0,124.22904761904762,0.08213131657729003,High-Value Active
C10060,3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.938728,1600.212243,0.0,11,0.99278469125,0.1926245274382901,0.0,0.05614387925,0.0,0.0,High-Utilization
C10061,5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,1895.02617,0.0,12,0.9156506766666667,0.384163429129849,0.03816666666666667,0.161765222,38.166666666666664,1.0,High-Utilization
C10062,1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,548.105836,0.0,12,0.2890944666153846,1.867734740609007,0.017384615384615384,0.0,56.5,0.0,Low-Engagement
C10063,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12,0.972371063125,0.21730622818609804,0.041375,0.0,66.2,0.0,High-Utilization
C10064,809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148648,241.645387,0.090909,11,0.19508023566265062,5.400494781647941,0.0,0.9204030038554217,0.0,0.0,Cash-Advance Heavy
C10065,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,312.343947,0.0,12,0.0044702225,0.0,0.525,0.0,840.0,0.0,Low-Engagement
C10067,1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,1.0,0.0,1.0,0.083333,4,61,1850.0,3688.045998,3266.996777,0.083333,12,1.0399388135135135,1.9169766061158675,1.020345945945946,0.868080741081081,30.944918032786887,1.0,High-Value Active
C10068,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,1800.0,777.451648,897.905444,0.0,12,0.9766999927777779,0.44222134270097574,0.2290722222222222,0.0,37.484545454545454,0.21128707588581963,High-Utilization
C10069,809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,0.0,0.125,1,0,1500.0,146.074769,179.412493,0.0,8,0.5398983033333333,0.18037319015838607,0.0,0.6056157386666666,0.0,0.0,Cash-Advance Heavy
C10070,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,352.883804,0.0,12,0.6305220116,0.34258738953753604,0.0,0.1531634188,0.0,0.0,Low-Engagement
C10071,3990.523579,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0,8,6000.0,6876.836205,1001.607366,0.083333,12,0.6650872631666667,1.7232917106890748,0.043916666666666666,0.0,32.9375,0.27666034155597724,Balanced Usage
C10072,1699.435486,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,1700.0,1623.816348,923.505868,0.0,12,0.9996679329411765,0.9555033782553367,0.8021705882352942,0.0,340.9225,0.0,High-Utilization
C10073,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4,11,6250.0,1288.214909,2180.881868,0.0,12,0.8780293958400001,0.23474656590832346,0.067056,0.10006390176,38.1,1.0,High-Utilization
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.69446,1107.030803,0.454545,12,0.4272031694285714,9.441039660611988,0.6461814285714287,3.8994979657142856,137.0687878787879,0.6321046499545682,Cash-Advance Heavy
C10075,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3,0,7000.0,910.457985,140.983193,0.25,8,0.09371614428571429,1.387865745223559,0.0,0.21062141442857144,0.0,0.0,Low-Engagement
C10077,1808.972419,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.017418,622.757696,0.0,10,0.8039877417777778,0.4914488516588047,0.3172888888888889,0.0,89.2375,0.2953074660316571,High-Utilization
C10078,532.334517,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0,7,6000.0,1305.177304,175.510344,0.0,11,0.0887224195,2.4517991269012525,0.13199,0.0,113.13428571428572,0.3476273455059727,Balanced Usage
C10079,5860.433624,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0,14,6000.0,1990.044998,2161.428274,0.0,12,0.9767389373333334,0.33957299505112526,0.093645,0.0,40.13357142857143,0.555947105202271,High-Utilization
C10080,1727.638449,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,11000.0,2959.920544,623.656993,0.0,12,0.1570580408181818,1.7132754516509374,0.05510090909090909,0.0,35.65352941176471,0.0,Balanced Usage
C10081,578.809679,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0,8,1500.0,1438.910569,190.186542,0.0,12,0.3858731193333333,2.485982216962892,0.21333333333333335,0.0,40.0,1.0,Installment-Focused
C10082,1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1,0,1200.0,29.278671,8242.687678,0.0,12,1.0047638983333333,0.024283209757508223,0.0,0.031938167499999996,0.0,0.0,High-Utilization
C10083,6593.820644,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,7000.0,1624.583114,2503.40234,0.0,12,0.9419743777142857,0.2463796335555893,0.055522857142857145,0.6602763685714286,55.52285714285715,0.0,High-Utilization
C10084,17.357563,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0,13,5000.0,357.802082,121.523416,0.181818,12,0.0034715125999999997,20.613612751974458,0.04897,0.0,18.834615384615383,0.8357770063304063,Installment-Focused
C10085,81.584711,0.272727,0.0,0.0,0.0,2985.300006,0.0,0.0,0.0,0.166667,5,0,9500.0,116.569033,164.692136,0.0,12,0.008587864315789473,1.4288097803030768,0.0,0.31424210589473683,0.0,0.0,Low-Engagement
C10086,3.78631,0.636364,133.05,28.2,104.85,0.0,0.416667,0.166667,0.25,0.0,0,5,12000.0,210.053432,99.533735,0.444444,12,0.0003155258333333333,55.477082436461885,0.0110875,0.0,26.610000000000003,0.7880496054114994,Installment-Focused
C10087,42.46443,0.545455,396.0,0.0,396.0,0.0,0.5,0.0,0.416667,0.0,0,12,1200.0,725.606194,140.809454,1.0,12,0.035387025,17.087388056309717,0.33,0.0,33.0,1.0,Installment-Focused
C10088,1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,1.0,0.333333,0.083333,1,50,9000.0,4921.066897,594.756686,0.0,12,0.21504027622222222,2.5427106976589395,0.5461777777777779,0.03264942133333333,98.31200000000001,0.08142647896492798,High-Value Active
C10089,134.917202,1.0,1247.8,1247.8,0.0,0.0,1.0,1.0,0.0,0.0,0,22,16500.0,1275.229436,171.357189,1.0,12,0.008176800121212122,9.451941020834393,0.07562424242424243,0.0,56.71818181818182,0.0,High-Value Active
C10090,7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.873897,1876.262988,0.0,12,0.6427227623636365,0.649208784560769,0.14579818181818183,0.5114549132727273,69.7295652173913,0.09891631021711207,High-Value Active
C10092,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,2074.581541,0.0,12,0.6060186022962963,0.36932931132633146,0.16726000000000002,0.38897992103703705,37.633500000000005,0.4159547566219813,High-Value Active
C10093,4037.305658,1.0,45.0,45.0,0.0,104.238064,0.083333,0.083333,0.0,0.083333,1,1,4500.0,1073.844885,968.941265,0.0,12,0.8971790351111112,0.2659805761478959,0.01,0.02316401422222222,45.0,0.0,High-Utilization
C10094,6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,2864.380327,0.0,12,0.9400408098461538,0.24584949525032604,0.0,0.4180390641538462,0.0,0.0,High-Utilization
C10095,9381.255094,1.0,5100.07,1147.83,3952.24,370.737197,1.0,0.25,0.916667,0.083333,1,46,9000.0,6409.496345,9827.045323,0.0,12,1.042361677111111,0.6832237563926112,0.5666744444444444,0.04119302188888889,110.87108695652174,0.7749383831986619,High-Value Active
C10096,1977.00709,1.0,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000.0,3056.424974,910.707525,0.090909,11,0.4942517725,1.5459858436825333,0.25801,1.0839798067500002,60.70823529411764,0.7801441804581218,Cash-Advance Heavy
C10097,1321.47608,1.0,45.65,45.65,0.0,495.657934,0.083333,0.083333,0.0,0.083333,1,1,1800.0,440.840439,312.560636,0.0,12,0.7341533777777778,0.33359698724172143,0.025361111111111112,0.2753655188888889,45.65,0.0,High-Utilization
C10098,1307.717841,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,2400.0,0.0,312.343947,0.0,12,0.54488243375,0.0,0.169,0.0,202.8,0.0,Low-Engagement
C10099,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,312.343947,0.0,12,0.97061907,0.0,0.08889166666666667,0.0,71.11333333333333,0.0,High-Utilization
C10100,1139.782882,1.0,0.0,0.0,0.0,120.612912,0.0,0.0,0.0,0.083333,1,0,1200.0,151.823651,2906.110765,0.0,12,0.9498190683333333,0.1332040105161011,0.0,0.10051075999999999,0.0,0.0,High-Utilization
C10101,1619.955708,1.0,739.44,739.44,0.0,0.0,0.666667,0.666667,0.0,0.0,0,11,6000.0,417.128532,389.138517,0.0,12,0.269992618,0.2574937882190542,0.12324,0.0,67.2218181818182,0.0,Balanced Usage
C10102,3505.671311,1.0,0.0,0.0,0.0,1713.984305,0.0,0.0,0.0,0.5,6,0,4000.0,0.0,312.343947,0.0,12,0.87641782775,0.0,0.0,0.42849607624999997,0.0,0.0,High-Utilization
C10103,4.708041,0.363636,79.0,0.0,79.0,0.0,0.25,0.0,0.166667,0.0,0,3,7000.0,217.820198,121.781205,1.0,12,0.0006725772857142857,46.26556947995993,0.011285714285714286,0.0,26.333333333333332,1.0,Installment-Focused
C10104,0.0,0.0,0.0,0.0,0.0,89.849004,0.0,0.0,0.0,0.142857,1,0,3000.0,138.021428,312.343947,0.0,7,0.0,0.0,0.0,0.029949668,0.0,0.0,Low-Engagement
C10105,4.875885,0.666667,20.0,20.0,0.0,0.0,0.111111,0.111111,0.0,0.0,0,1,1500.0,26.487919,60.913577,0.0,9,0.0032505900000000003,5.4324330865063475,0.013333333333333334,0.0,20.0,0.0,Low-Engagement
C10106,23.394411,0.272727,1346.28,0.0,1346.28,0.0,1.0,0.0,1.0,0.0,0,12,2000.0,712.149153,54.79166,0.0,12,0.0116972055,30.440995201802682,0.67314,0.0,112.19,1.0,High-Value Active
C10107,3539.801912,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.916667,0.833333,0.0,0,75,5700.0,9172.788366,2103.796148,0.083333,12,0.6210178792982456,2.5913281573480322,0.49540350877192985,0.0,37.650666666666666,0.45449040300304555,High-Value Active
C10108,0.62424,0.090909,389.96,0.0,389.96,0.0,1.0,0.0,1.0,0.0,0,31,4500.0,0.0,312.343947,0.0,12,0.00013872,0.0,0.08665777777777778,0.0,12.579354838709676,1.0,Installment-Focused
C10109,862.07238,1.0,0.0,0.0,0.0,920.309805,0.0,0.0,0.0,0.083333,1,0,4000.0,2236.890255,214.828158,0.083333,12,0.215518095,2.594782418385797,0.0,0.23007745125,0.0,0.0,Low-Engagement
C10110,2441.542991,1.0,808.0,808.0,0.0,959.857263,0.25,0.25,0.0,0.333333,6,4,4000.0,532.741699,1026.976,0.0,12,0.61038574775,0.21819877879021138,0.202,0.23996431575,202.0,0.0,Low-Engagement
C10111,408.656365,1.0,941.64,0.0,941.64,0.0,1.0,0.0,1.0,0.0,0,12,2500.0,1097.78942,176.610605,0.083333,12,0.163462546,2.686338728628392,0.376656,0.0,78.47,1.0,Installment-Focused
